So Bao Danh,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,KHTN,Lich Su,Dia Ly,GDCD,KHXH
03000330,4.40,5.50,,,,,,4.50,7.00,,
03000331,7.40,,,4.00,6.25,6.00,5.42,,,,
03000332,7.40,7.50,7.40,,,,,6.75,7.50,8.50,7.58
03000333,6.00,3.75,4.40,4.50,3.50,4.75,4.25,,,,
03000334,7.80,5.50,7.80,8.25,7.75,5.25,7.08,,,,
03000335,7.20,6.75,6.40,,,,,3.00,5.25,8.25,5.50
03000336,5.80,4.25,7.00,,,,,6.50,5.25,8.75,6.83
03000337,6.20,7.00,6.60,,,,,7.25,8.50,9.75,8.50
03000338,5.80,5.75,3.40,,,,,4.75,5.75,9.75,6.75
03000339,5.00,4.75,3.80,,,,,7.25,7.50,9.00,7.92
03000340,3.20,4.00,,,,,,1.75,3.75,,
03000341,3.40,2.00,2.60,,,,,3.25,6.00,5.25,4.83
03000342,8.60,5.75,5.60,8.00,7.50,4.25,6.58,,,,
03000343,5.00,4.75,,,,,,2.75,4.00,,
03000344,8.80,4.75,7.40,6.75,4.50,3.50,4.92,,,,
03000345,7.00,6.75,2.20,,,,,4.50,6.00,7.50,6.00
03000346,8.60,5.00,4.40,8.00,7.25,5.50,6.92,,,,
03000347,5.80,6.00,2.80,,,,,2.75,5.75,6.75,5.08
03000348,4.40,4.25,,,,,,3.50,5.50,,
03000349,6.80,6.25,4.60,,,,,6.50,7.25,9.50,7.75
03000350,8.20,5.00,4.00,7.50,6.00,4.75,6.08,,,,
03000351,7.20,7.75,8.20,,,,,6.00,6.50,8.75,7.08
03000352,4.60,4.00,,,,,,2.00,6.25,,
03000353,6.40,5.25,3.20,4.00,3.25,5.00,4.08,,,,
03000354,5.00,3.75,3.60,2.50,4.25,4.75,3.83,,,,
03000355,3.40,3.75,,,,,,1.75,5.25,,
03000356,5.60,4.75,,,,,,3.75,6.75,,
